Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Eficienta_Finalizare,Contributie_Ofensiva,Implicare_Constructie
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,29,1994,25,11,1216,13.5,2,2,4,2,0,0,5,0,2.2,2.2,3.5,5.7,50.0,28.0,138.0,0.15,0.15,0.3,0.15,0.3,0.16,0.26,0.42,0.16,0.42,-0.20000000000000018,4,78.0
Houssem Aouar,ALG,MF,Roma,Serie A,25,1998,16,9,756,8.4,4,0,4,4,0,0,3,0,2.3,2.3,0.5,2.8,17.0,26.0,59.0,0.48,0.0,0.48,0.48,0.48,0.28,0.05,0.33,0.28,0.33,1.7000000000000002,4,43.0
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,11,5,543,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,6.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,-0.1,0,32.0
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,23.0,74.0,47.0,0.06,0.0,0.06,0.06,0.06,0.04,0.07,0.11,0.04,0.11,0.30000000000000004,1,97.0
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,25,21,1997,22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24.0,101.0,11.0,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,-1.1,3,125.0
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,12,11,943,10.5,0,0,0,0,0,0,2,0,0.0,0.0,0.7,0.8,13.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0,56.0
Cameron Archer,ENG,FW,Sheffield Utd,Premier League,22,2001,29,21,1832,20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,33.0,15.0,113.0,0.2,0.05,0.25,0.2,0.25,0.27,0.14,0.41,0.27,0.41,-1.5,5,48.0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,31,31,2699,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,37,29,2660,29.6,1,6,7,1,0,0,3,0,0.2,0.2,3.6,3.8,78.0,106.0,180.0,0.03,0.2,0.24,0.03,0.24,0.01,0.12,0.13,0.01,0.13,0.8,7,184.0
José Arnaiz,ESP,FW,Osasuna,La Liga,28,1995,26,9,929,10.3,2,1,3,2,0,0,3,0,1.7,1.7,1.8,3.5,23.0,11.0,85.0,0.19,0.1,0.29,0.19,0.29,0.17,0.17,0.34,0.17,0.34,0.30000000000000004,3,34.0
Hákon Arnar Haraldsson,ISL,FW,Lille,Ligue 1,20,2003,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.8,0.8,1.5,2.2,25.0,48.0,90.0,0.14,0.0,0.14,0.14,0.14,0.05,0.1,0.16,0.05,0.16,1.2,2,73.0
Marko Arnautović,AUT,FW,Inter,Serie A,34,1989,27,5,801,8.9,5,3,8,5,0,0,0,0,5.0,5.0,2.6,7.6,12.0,20.0,77.0,0.56,0.34,0.9,0.56,0.9,0.56,0.29,0.85,0.56,0.85,0.0,8,32.0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,29,1994,30,27,2506,27.8,2,1,3,2,0,0,9,0,1.0,1.0,3.9,4.9,20.0,143.0,19.0,0.07,0.04,0.11,0.07,0.11,0.04,0.14,0.18,0.04,0.18,1.0,3,163.0
Sergio Arribas,ESP,MF,Almería,La Liga,21,2001,34,22,2047,22.7,9,4,13,9,0,0,1,0,8.6,8.6,3.7,12.2,56.0,81.0,94.0,0.4,0.18,0.57,0.4,0.57,0.38,0.16,0.54,0.38,0.54,0.40000000000000036,13,137.0
Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,14,13,1198,13.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Takuma Asano,JPN,FW,Bochum,Bundesliga,28,1994,29,26,1986,22.1,6,1,7,6,0,0,2,0,7.9,7.9,1.3,9.2,56.0,32.0,167.0,0.27,0.05,0.32,0.27,0.32,0.36,0.06,0.42,0.36,0.42,-1.9000000000000004,7,88.0
Marco Asensio,ESP,MF,Paris S-G,Ligue 1,27,1996,19,13,1113,12.4,4,5,9,4,0,0,0,0,3.2,3.2,5.8,9.0,36.0,71.0,92.0,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73,0.7999999999999998,9,107.0
Kristjan Asllani,ALB,MF,Inter,Serie A,21,2002,23,6,787,8.7,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.6,5.0,32.0,8.0,0.11,0.23,0.34,0.11,0.34,0.07,0.12,0.19,0.06,0.18,0.4,3,37.0
Joel Asoro,SWE,FW,Metz,Ligue 1,24,1999,20,10,848,9.4,2,1,3,2,0,0,2,0,0.6,0.6,0.3,0.9,14.0,16.0,43.0,0.21,0.11,0.32,0.21,0.32,0.06,0.03,0.09,0.06,0.09,1.4,3,30.0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,35,1987,35,31,2707,30.1,9,10,19,6,3,5,6,1,11.5,7.5,10.1,17.6,84.0,161.0,202.0,0.3,0.33,0.63,0.2,0.53,0.38,0.34,0.72,0.25,0.59,-2.5,16,245.0
Lorenz Assignon,TOG,DF,Burnley,Premier League,23,2000,15,15,1234,13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3.0,38.0,34.0,57.0,0.07,0.15,0.22,0.07,0.22,0.03,0.19,0.22,0.03,0.22,0.6,3,72.0
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,23,2000,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.4,0.4,1.8,2.2,28.0,51.0,67.0,0.09,0.09,0.18,0.09,0.18,0.04,0.16,0.2,0.04,0.2,0.6,2,79.0
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,17,2005,15,7,555,6.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,10.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,-0.5,0,31.0
Arthur Atta,FRA,MF,Metz,Ligue 1,20,2003,21,10,924,10.3,1,2,3,1,0,0,0,0,0.6,0.6,1.3,1.9,16.0,48.0,22.0,0.1,0.19,0.29,0.1,0.29,0.06,0.13,0.18,0.06,0.18,0.4,3,64.0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,2002,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Pierre-Emerick Aubameyang,GAB,FW,Marseille,Ligue 1,34,1989,34,30,2622,29.1,17,8,25,13,4,4,4,0,20.5,17.3,5.6,23.0,68.0,58.0,235.0,0.58,0.27,0.86,0.45,0.72,0.7,0.19,0.9,0.59,0.79,-3.5,21,126.0
Tommaso Augello,ITA,DF,Cagliari,Serie A,28,1994,32,28,2418,26.9,1,1,2,1,0,0,5,0,0.5,0.5,2.0,2.5,62.0,96.0,99.0,0.04,0.04,0.07,0.04,0.07,0.02,0.07,0.09,0.02,0.09,0.5,2,158.0
Carlos Augusto,BRA,DF,Inter,Serie A,24,1999,37,14,1725,19.2,0,3,3,0,0,0,1,0,1.0,1.0,2.8,3.9,42.0,54.0,88.0,0.0,0.16,0.16,0.0,0.16,0.05,0.15,0.2,0.05,0.2,-1.0,3,96.0
Yann Aurel Bisseck,GER,DF,Inter,Serie A,22,2000,16,9,904,10.0,2,0,2,2,0,0,0,0,0.9,0.9,0.5,1.4,24.0,30.0,20.0,0.2,0.0,0.2,0.2,0.2,0.09,0.05,0.14,0.09,0.14,1.1,2,54.0
Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,30,1992,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10.0,47.0,29.0,0.0,0.22,0.22,0.0,0.22,0.02,0.05,0.07,0.02,0.07,-0.2,2,57.0
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,29,1994,17,10,864,9.6,1,3,4,1,0,0,3,2,2.0,2.0,2.3,4.3,14.0,39.0,75.0,0.1,0.31,0.42,0.1,0.42,0.21,0.24,0.45,0.21,0.45,-1.0,4,53.0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25,1997,20,12,1042,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8.0,14.0,45.0,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,1.2999999999999998,9,22.0
André Ayew,GHA,FW,Le Havre,Ligue 1,33,1989,19,12,1104,12.3,5,0,5,5,0,0,2,1,3.1,3.1,0.8,3.9,14.0,23.0,65.0,0.41,0.0,0.41,0.41,0.41,0.25,0.07,0.32,0.25,0.32,1.9,5,37.0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,31,1991,35,30,2543,28.3,4,7,11,4,0,0,9,1,3.9,3.9,4.2,8.1,74.0,63.0,173.0,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.29,0.14,0.29,0.10000000000000009,11,137.0
Neil El Aynaoui,FRA,MF,Lens,Ligue 1,22,2001,25,17,1566,17.4,1,2,3,1,0,0,1,0,2.4,2.4,0.8,3.2,25.0,59.0,44.0,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,-1.4,3,84.0
